fido;Rogers Communications Canada Inc.;generic
film;Motion Picture Domain Registry Pty Ltd;generic
final;Núcleo de Informação e Coordenação do Ponto BR - NIC.br;generic
finance;Binky Moon, LLC;generic
financial;Binky Moon, LLC;generic
fire;Amazon Registry Services, Inc.;generic
firestone;Bridgestone Licensing Services, Inc.;generic
firmdale;Firmdale Holdings Limited;generic
fish;Binky Moon, LLC;generic
fishing;Top Level Domain Holdings Limited;generic
fit;Minds + Machines Group Limited;generic
fitness;Binky Moon, LLC;generic
flickr;Yahoo! Domain Services Inc.;generic
flights;Binky Moon, LLC;generic
flir;FLIR Systems, Inc.;generic
florist;Binky Moon, LLC;generic
flowers;Uniregistry, Corp.;generic
flsmidth;Retired;generic
fly;Charleston Road Registry Inc.;generic
foo;Charleston Road Registry Inc.;generic
food;Lifestyle Domain Holdings, Inc.;generic
foodnetwork;Lifestyle Domain Holdings, Inc.;generic
football;Binky Moon, LLC;generic
ford;Ford Motor Company;generic
forex;DOTFOREX REGISTRY LTD;generic
forsale;United TLD Holdco, LLC;generic
forum;Fegistry, LLC;generic
foundation;Binky Moon, LLC;generic
fox;FOX Registry, LLC;generic
free;Amazon Registry Services, Inc.;generic
fresenius;Fresenius Immobilien-Verwaltungs-GmbH;generic
frl;FRLregistry B.V.;generic
frogans;OP3FT;generic
frontdoor;Lifestyle Domain Holdings, Inc.;generic
frontier;Frontier Communications Corporation;generic
ftr;Frontier Communications Corporation;generic
fujitsu;Fujitsu Limited;generic
fujixerox;Xerox DNHC LLC;generic
fun;DotSpace, Inc.;generic
fund;Binky Moon, LLC;generic
furniture;Binky Moon, LLC;generic
futbol;United TLD Holdco, Ltd.;generic
fyi;Binky Moon, LLC;generic
gal;Asociación puntoGAL;generic
gallery;Binky Moon, LLC;generic
gallo;Gallo Vineyards, Inc.;generic
gallup;Gallup, Inc.;generic
game;Uniregistry, Corp.;generic
games;United TLD Holdco Ltd.;generic
gap;The Gap, Inc.;generic
garden;Top Level Domain Holdings Limited;generic
gbiz;Charleston Road Registry Inc.;generic
gdn;"Joint Stock Company ""Navigation-information systems""";generic
gea;GEA Group Aktiengesellschaft;generic
gent;Combell nv;generic
genting;Resorts World Inc. Pte. Ltd.;generic
george;Wal-Mart Stores, Inc.;generic
ggee;GMO Internet, Inc.;generic
gift;Uniregistry, Corp.;generic
gifts;Binky Moon, LLC;generic
gives;United TLD Holdco Ltd.;generic
giving;Giving Limited;generic
glade;Johnson Shareholdings, Inc.;generic
glass;Binky Moon, LLC;generic
gle;Charleston Road Registry Inc.;generic
global;Dot Global Domain Registry Limited;generic
globo;Globo Comunicação e Participações S.A;generic
gmail;Charleston Road Registry Inc.;generic
gmbh;Binky Moon, LLC;generic
gmo;GMO Internet, Inc.;generic
gmx;1&1 Mail & Media GmbH;generic
godaddy;Go Daddy East, LLC;generic
gold;Binky Moon, LLC;generic
goldpoint;YODOBASHI CAMERA CO.,LTD.;generic
golf;Binky Moon, LLC;generic
goo;NTT Resonant Inc.;generic
goodhands;Allstate Fire and Casualty Insurance Company;generic
goodyear;The Goodyear Tire & Rubber Company;generic
goog;Charleston Road Registry Inc.;generic
google;Charleston Road Registry Inc.;generic
gop;Republican State Leadership Committee, Inc.;generic
got;Amazon Registry Services, Inc.;generic
grainger;Grainger Registry Services, LLC;generic
graphics;Binky Moon, LLC;generic
gratis;Binky Moon, LLC;generic
green;DotGreen Registry Limited;generic
gripe;Binky Moon, LLC;generic
grocery;Wal-Mart Stores, Inc.;generic
group;Binky Moon, LLC;generic
guardian;The Guardian Life Insurance Company of America;generic
gucci;Guccio Gucci S.p.a.;generic
guge;Charleston Road Registry Inc.;generic
guide;Binky Moon, LLC;generic
guitars;Uniregistry, Corp.;generic
guru;Binky Moon, LLC;generic
hair;L'Oreal;generic
hamburg;Hamburg Top-Level-Domain GmbH;generic
hangout;Charleston Road Registry Inc.;generic
haus;United TLD Holdco, LTD.;generic
hbo;HBO Registry Services, Inc.;generic
hdfc;HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED;generic
hdfcbank;HDFC Bank Limited;generic
health;DotHealth, LLC;generic
healthcare;Binky Moon, LLC;generic
help;Uniregistry, Corp.;generic
helsinki;City of Helsinki;generic
here;Charleston Road Registry Inc.;generic
hermes;Hermes International;generic
hgtv;Lifestyle Domain Holdings, Inc.;generic
hiphop;Uniregistry, Corp.;generic
hisamitsu;Hisamitsu Pharmaceutical Co.,Inc.;generic
hitachi;Hitachi, Ltd.;generic
hiv;Uniregistry, Corp.;generic
hkt;PCCW-HKT DataCom Services Limited;generic
hockey;Binky Moon, LLC;generic
holdings;Binky Moon, LLC;generic
holiday;Binky Moon, LLC;generic
homedepot;Home Depot Product Authority, LLC;generic
homegoods;The TJX Companies, Inc.;generic
homes;DERHomes, LLC;generic
homesense;The TJX Companies, Inc.;generic
honda;Honda Motor Co., Ltd.;generic
honeywell;Honeywell GTLD LLC;generic
horse;Top Level Domain Holdings Limited;generic
hospital;Binky Moon, LLC;generic
host;DotHost Inc.;generic
hosting;Uniregistry, Corp.;generic
hot;Amazon Registry Services, Inc.;generic
hoteles;Travel Reservations SRL;generic
hotels;Booking.com B.V.;generic
hotmail;Microsoft Corporation;generic
house;Binky Moon, LLC;generic
how;Charleston Road Registry Inc.;generic
hsbc;HSBC Global Services (UK) Limited;generic
htc;Not assigned;generic
hughes;Hughes Satellite Systems Corporation;generic
hyatt;Hyatt GTLD, L.L.C.;generic
hyundai;Hyundai Motor Company;generic
ibm;International Business Machines Corporation;generic
icbc;Industrial and Commercial Bank of China Limited;generic
ice;IntercontinentalExchange, Inc.;generic
icu;Shortdot SA;generic
ieee;IEEE Global LLC;generic
ifm;ifm electronic gmbh;generic
iinet;Retired;generic
ikano;Ikano S.A.;generic
imamat;Fondation Aga Khan (Aga Khan Foundation);generic
imdb;Amazon Registry Services, Inc.;generic
immo;Binky Moon, LLC;generic
immobilien;United TLD Holdco Ltd.;generic
industries;Binky Moon, LLC;generic
infiniti;NISSAN MOTOR CO., LTD.;generic
info;Informational sites;generic
ing;Charleston Road Registry Inc.;generic
ink;Top Level Design, LLC;generic
institute;Binky Moon, LLC;generic
insurance;fTLD Registry Services LLC;generic
insure;Binky Moon, LLC;generic
intel;Intel Corporation;generic
international;Binky Moon, LLC;generic
intuit;Intuit Administrative Services, Inc.;generic
investments;Binky Moon, LLC;generic
ipiranga;Ipiranga Produtos de Petroleo S.A.;generic
irish;Binky Moon, LLC;generic
iselect;iSelect Ltd;generic
ismaili;Fondation Aga Khan (Aga Khan Foundation);generic
ist;Istanbul Metropolitan Municipality;generic
istanbul;Istanbul Metropolitan Municipality;generic
itau;Itau Unibanco Holding S.A.;generic
itv;ITV Services Limited;generic
iveco;CNH Industrial N.V.;generic
iwc;Richemont DNS Inc.;generic
jaguar;Jaguar Land Rover Ltd;generic
java;Oracle Corporation;generic
jcb;JCB Co., Ltd.;generic
jcp;JCP Media, Inc.;generic
jeep;FCA US LLC.;generic
jetzt;Binky Moon, LLC;generic
jewelry;Binky Moon, LLC;generic
jio;Affinity Names, Inc.;generic
jlc;Richemont DNS Inc.;generic
jll;Jones Lang LaSalle Incorporated;generic
jmp;Matrix IP LLC;generic
jnj;Johnson & Johnson Services, Inc.;generic
joburg;ZA Central Registry NPC trading as ZA Central Registry;generic
jot;Amazon Registry Services, Inc.;generic
joy;Amazon Registry Services, Inc.;generic
